dr-x------    2 root     root             0 Jun 30 14:59 .
dr-xr-xr-x    9 root     root             0 Feb 17 09:36 ..
lrwx------    1 root     root            64 Jul  3 10:39 79 -> anon_inode:[eventpoll]
l-wx------    1 root     root            64 Jul  4 10:39 8 -> /var/volatile/log/debug/intercom.log
lrwx------    1 root     root            64 Jul  3 10:39 80 -> socket:[602554274]
lrwx------    1 root     root            64 Jul  3 10:39 81 -> socket:[389204929]
lrwx------    1 root     root            64 Jul  3 10:39 82 -> socket:[606330126]
lrwx------    1 root     root            64 Jul  3 10:39 83 -> socket:[294449767]
lrwx------    1 root     root            64 Jul  3 10:39 84 -> socket:[12157]
lrwx------    1 root     root            64 Jul  3 10:39 85 -> socket:[12155]
lrwx------    1 root     root            64 Jul  3 10:39 86 -> socket:[12159]
lrwx------    1 root     root            64 Jul  3 10:39 87 -> socket:[12175]
lrwx------    1 root     root            64 Jul  3 10:39 88 -> socket:[12707]
lrwx------    1 root     root            64 Jul  3 10:39 89 -> socket:[12167]
l-wx------    1 root     root            64 Jul  4 10:39 9 -> /var/volatile/log/debug/lighting.log
lrwx------    1 root     root            64 Jul  3 10:39 90 -> socket:[12178]
lrwx------    1 root     root            64 Jul  3 10:39 91 -> socket:[12171]
lr-x------    1 root     root            64 Jul  3 10:39 92 -> pipe:[12204]
l-wx------    1 root     root            64 Jul  3 10:39 93 -> pipe:[12204]
lrwx------    1 root     root            64 Jul  3 10:39 94 -> socket:[607309581]
lrwx------    1 root     root            64 Jul  3 10:39 95 -> socket:[510348865]
lrwx------    1 root     root            64 Jul  3 10:39 96 -> socket:[535820058]
lrwx------    1 root     root            64 Jul  3 10:39 97 -> socket:[389203265]
lrwx------    1 root     root            64 Jul  3 10:39 98 -> socket:[389203266]
lrwx------    1 root     root            64 Jul  3 10:39 99 -> socket:[14742]
